,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-06 07:00:00+00:00,21.37733475,494.07164025,24.2072015,84.94389225,24.4306905,106.040451,478.75376975,1233.8249799999999,1.2324215,0.0,2180.3388999999997,1235.0574015,2180.3388999999997,-945.2814984999998,None,LT,2026-04-23
2026-01-06 08:00:00+00:00,21.3613955,493.942295,24.21939625,82.77019575,54.45137375,105.89645475,485.85907925000004,1268.50019025,0.58565025,0.0,2192.38227,1269.0858405000001,2192.38227,-923.2964294999999,None,LT,2026-04-23
2026-01-06 09:00:00+00:00,21.369998,489.5969925,24.76986625,89.02374825000001,68.88636725,107.23406925,438.9493415,1239.830383,6.8491665,0.0,2185.6092949999997,1246.6795495,2185.6092949999997,-938.9297454999999,None,LT,2026-04-23
2026-01-06 10:00:00+00:00,21.369998,488.27713625,25.075965,87.020901,65.05466425,107.742114,322.02786775,1116.56864625,45.27151675,0.0,2145.9276275,1161.840163,2145.9276275,-984.0874645000001,None,LT,2026-04-23
2026-01-06 11:00:00+00:00,21.369998,493.07259475,25.2260875,81.7609735,46.26678325,107.978849,280.80095,1056.476236,201.2493545,0.0,2138.297855,1257.7255905,2138.297855,-880.5722644999998,None,LT,2026-04-23
2026-01-06 12:00:00+00:00,21.3603005,498.2483285,25.23369175,83.49834525,22.831967249999998,107.76794625,232.90077675,991.8413562500001,0.947393,0.0,2108.503995,992.7887492500001,2108.503995,-1115.71524575,None,LT,2026-04-23
2026-01-06 13:00:00+00:00,21.380001,496.90137575,24.74968875,76.70755175,6.17853925,106.72765675,149.3016955,881.94650875,41.343932249999995,0.0,2097.2807925,923.290441,2097.2807925,-1173.9903515,None,LT,2026-04-23
2026-01-06 14:00:00+00:00,21.380001,501.53623875,24.9791865,81.2107035,0.7430114999999999,106.435677,147.006148,883.2909662499999,0.0,0.0,2107.8024075,883.2909662499999,2107.8024075,-1224.51144125,None,LT,2026-04-23
2026-01-06 15:00:00+00:00,21.380001,506.932137,24.46048725,79.85505075,6.5e-05,106.84663574999999,142.0848445,881.5592212500001,0.0,0.0,2116.171355,881.5592212500001,2116.171355,-1234.6121337499999,None,LT,2026-04-23
2026-01-06 16:00:00+00:00,21.37620175,506.31570750000003,24.881119,81.20411475,0.0,106.20192275,119.86335825,859.842424,0.0,0.0,2100.992445,859.842424,2100.992445,-1241.150021,None,LT,2026-04-23
2026-01-06 17:00:00+00:00,21.3646325,507.448176,24.9663105,86.98107250000001,0.0,106.4129245,88.11400549999999,835.2871214999999,5.9701805,0.0,2059.164435,841.2573019999999,2059.164435,-1217.9071330000002,None,LT,2026-04-23
2026-01-06 18:00:00+00:00,21.30910275,495.5672095,24.2113985,76.7954095,0.0,92.4039745,86.565948,796.85304275,10.659063,0.0,1998.2141649999999,807.5121057499999,1998.2141649999999,-1190.7020592499998,None,LT,2026-04-23
2026-01-06 19:00:00+00:00,21.174237249999997,485.69494775,24.202264,46.4857375,0.0,98.61195675,127.94991575,804.1190589999999,4.53768625,0.0,1898.6318075,808.6567452499999,1898.6318075,-1089.97506225,None,LT,2026-04-23
2026-01-06 20:00:00+00:00,21.00481525,406.19285825,24.19900475,38.9452355,0.0,107.2701395,156.46811775,754.080171,0.0,0.0,1756.3529425,754.080171,1756.3529425,-1002.2727715,None,LT,2026-04-23
2026-01-06 21:00:00+00:00,21.0,70.58866125,24.201071250000002,39.150020749999996,0.0,108.66806625,227.91689125,491.52471075,0.0,0.0,1624.478825,491.52471075,1624.478825,-1132.95411425,None,LT,2026-04-23
2026-01-06 22:00:00+00:00,21.050631250000002,68.35508325,24.2744805,41.920955750000005,0.0,108.2063295,265.94077325,529.7482535,0.0,0.0,1540.38302,529.7482535,1540.38302,-1010.6347665,None,LT,2026-04-23
2026-01-06 23:00:00+00:00,21.059999,68.39487625,24.32342375,51.94954625,0.0,108.1742865,256.83680400000003,530.73893575,0.0,424.61909175,1486.808655,530.73893575,1911.42774675,-1380.688811,None,LT,2026-04-23
2026-01-07 00:00:00+00:00,21.059999,68.22655950000001,24.5537605,53.86095175,0.0,108.662861,255.6104785,531.9746102500001,0.0,447.604812,1463.1936,531.9746102500001,1910.798412,-1378.82380175,None,LT,2026-04-23
2026-01-07 01:00:00+00:00,21.059999,68.3785815,24.541960500000002,53.9345825,0.0,108.35696325,274.19952525,550.471612,0.0,447.19005450000003,1456.97924,550.471612,1904.1692945,-1353.6976825,None,LT,2026-04-23
2026-01-07 02:00:00+00:00,21.17226525,68.34178425,24.3230845,44.27637225,0.0,108.37570475,239.4306685,505.9198795,0.0,451.38253100000003,1478.25226,505.9198795,1929.634791,-1423.7149115,None,LT,2026-04-23
2026-01-07 03:00:00+00:00,21.2356315,68.38535575,45.750223250000005,41.540835,0.0,108.56329699999999,210.364281,495.8396235,0.0,395.738982,1553.840665,495.8396235,1949.579647,-1453.7400235,None,LT,2026-04-23
2026-01-07 04:00:00+00:00,21.20436775,68.34609425,47.14609925,41.9252435,0.0,108.0260785,193.06820125,479.71608449999997,201.81820175000001,0.0,1804.521055,681.5342862499999,1804.521055,-1122.98676875,None,LT,2026-04-23
2026-01-07 05:00:00+00:00,21.18,68.3197885,31.8694515,56.025763999999995,0.0,106.8734485,175.69629,459.96474249999994,364.06296725,0.0,2011.5449025,824.02770975,2011.5449025,-1187.51719275,None,LT,2026-04-23
2026-01-07 06:00:00+00:00,21.18,68.3077665,42.072235750000004,92.17613275,2.237408,106.81937325,92.73537925,425.52829549999996,530.66738675,0.0,2175.794855,956.1956822499999,2175.794855,-1219.5991727500002,None,LT,2026-04-23
2026-01-07 07:00:00+00:00,21.18,68.32695025000001,42.621119,103.52945525,16.15624975,106.7924845,49.42197625,408.02823500000005,632.82369225,0.0,2242.3298425000003,1040.85192725,2242.3298425000003,-1201.4779152500003,None,LT,2026-04-23
