,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-04 07:00:00+00:00,11.124736,954.32304,297.109075,49.7193,178.879328,702.41991,1762.9416,855.730697,2.627,280.198888,5095.073574000001,0.0,0.0,4950.51867,5095.073574000001,4950.51867,144.55490400000053,None,BG,2026-04-23
2026-01-04 08:00:00+00:00,10.746272,976.47974,296.794965,49.6838,151.68675,667.76992,1764.1728,1352.082902,2.795,430.170503,5702.382652,0.0,0.0,5083.80584,5702.382652,5083.80584,618.5768120000002,None,BG,2026-04-23
2026-01-04 09:00:00+00:00,10.756288,922.93828,294.276745,49.5072,112.441883,495.73066,1763.6256,1411.052352,2.653,526.031718,5589.013726,0.0,0.0,5046.20861,5589.013726,5046.20861,542.8051160000005,None,BG,2026-04-23
2026-01-04 10:00:00+00:00,11.097952,925.09796,293.580635,49.4976,105.076511,11.04443,1763.6256,1261.5214,2.805,560.243138,4983.590226,0.0,0.0,5035.47862,4983.590226,5035.47862,-51.88839399999961,None,BG,2026-04-23
2026-01-04 11:00:00+00:00,10.928016,972.9813,293.878195,49.8109,112.171187,8.64961,1763.352,954.309262,3.371,588.766721,4758.218191,0.0,0.0,4960.42814,4758.218191,4960.42814,-202.20994900000005,None,BG,2026-04-23
2026-01-04 12:00:00+00:00,10.718608,997.49919,293.76807,49.7508,110.988711,8.69117,1763.0784,616.349898,3.239,562.825444,4416.909291,0.0,0.0,4945.84156,4416.909291,4945.84156,-528.9322689999999,None,BG,2026-04-23
2026-01-04 13:00:00+00:00,11.139888,1011.33764,292.738475,49.5898,124.01428,54.62517,1764.3096,284.372265,3.136,557.245844,4152.508962,0.0,0.0,5005.2352,4152.508962,5005.2352,-852.7262380000002,None,BG,2026-04-23
2026-01-04 14:00:00+00:00,11.183184,1043.82044,294.089395,49.637,143.128972,341.17669,1765.404,89.744837,3.101,537.308422,4278.59394,0.0,0.0,5210.72462,4278.59394,5210.72462,-932.1306800000002,None,BG,2026-04-23
2026-01-04 15:00:00+00:00,11.262656,1081.23056,294.4721,49.577,212.993064,755.61744,1764.1728,149.568734,3.096,514.680309,4836.670663000001,0.0,0.0,5601.79926,4836.670663000001,5601.79926,-765.128596999999,None,BG,2026-04-23
2026-01-04 16:00:00+00:00,11.098816,1291.88131,294.85444,49.5357,243.257335,786.9896,1764.5832,408.816767,3.005,403.662154,5257.684322,0.0,0.0,5574.4767,5257.684322,5574.4767,-316.7923780000001,None,BG,2026-04-23
2026-01-04 17:00:00+00:00,10.969984,1337.73812,296.326775,49.3584,259.265437,786.26503,1762.8048,431.635158,2.965,250.534775,5187.863479000001,0.0,0.0,5415.594,5187.863479000001,5415.594,-227.7305209999995,None,BG,2026-04-23
2026-01-04 18:00:00+00:00,10.7856,1394.5296,297.16943,49.5528,236.295061,741.65967,1764.036,358.823302,2.947,108.180022,4963.978485,0.0,0.0,5275.48965,4963.978485,5275.48965,-311.5111650000008,None,BG,2026-04-23
2026-01-04 19:00:00+00:00,8.981232,1351.25879,296.02212,49.8916,150.307264,404.50812,1764.72,129.175962,3.026,182.502104,4340.393192,0.0,0.0,5198.70755,4340.393192,5198.70755,-858.3143579999996,None,BG,2026-04-23
2026-01-04 20:00:00+00:00,9.192816,1264.5469,296.01557,49.7462,111.699017,279.33162,1764.5832,4.847564,3.031,271.831279,4054.825166,0.0,0.0,4984.31365,4054.825166,4984.31365,-929.488484,None,BG,2026-04-23
2026-01-04 21:00:00+00:00,9.467024,1189.88654,295.73919,49.5393,99.930827,136.14786,1765.5408,3.152536,3.027,245.432929,3797.864006,0.0,0.0,4615.71936,3797.864006,4615.71936,-817.8553540000003,None,BG,2026-04-23
2026-01-04 22:00:00+00:00,11.543472,1059.01979,299.99861,49.4932,104.61723,47.44976,1765.6776,0.158706,2.865,225.282014,3566.105382,0.0,0.0,4252.41769,3566.105382,4252.41769,-686.312308,None,BG,2026-04-23
2026-01-04 23:00:00+00:00,10.98528,1039.45509,301.089945,49.3824,104.085828,8.62097,1764.1728,0.13263,2.722,171.98576,3452.632703,0.0,0.0,4173.04102,3452.632703,4173.04102,-720.4083169999994,None,BG,2026-04-23
2026-01-05 00:00:00+00:00,10.518176,1040.93836,300.848855,49.3276,104.610082,8.69322,1766.6352,0.121047,2.825,144.64194,3429.1594800000003,0.0,0.0,4195.78085,3429.1594800000003,4195.78085,-766.6213699999998,None,BG,2026-04-23
2026-01-05 01:00:00+00:00,11.210128,1038.15601,300.982005,49.4372,106.053997,8.69222,1766.772,0.074032,3.057,110.819382,3395.2539739999997,0.0,0.0,4528.9458,3395.2539739999997,4528.9458,-1133.6918260000007,None,BG,2026-04-23
2026-01-05 02:00:00+00:00,10.774032,1037.31333,300.84675,49.6222,106.526871,8.63876,1765.2672,0.064815,3.494,121.139459,3403.687417,0.0,0.0,4600.678,3403.687417,4600.678,-1196.9905829999998,None,BG,2026-04-23
2026-01-05 03:00:00+00:00,11.42888,1038.88444,300.072075,49.6241,117.793882,8.67735,1765.8144,0.17517,3.457,128.734263,3424.6615599999996,0.0,0.0,4480.65047,3424.6615599999996,4480.65047,-1055.98891,None,BG,2026-04-23
2026-01-05 04:00:00+00:00,11.683952,1039.42944,301.26338,49.7893,120.533232,9.67328,1766.3616,5.542099,3.6,160.10577,3467.9820529999997,0.0,0.0,4588.8086,3467.9820529999997,4588.8086,-1120.8265470000006,None,BG,2026-04-23
2026-01-05 05:00:00+00:00,11.120304,1098.0811,301.34389,49.6758,202.226319,155.5181,1763.352,2.520193,2.942,159.682525,3746.462231,0.0,0.0,5049.44304,3746.462231,5049.44304,-1302.9808090000001,None,BG,2026-04-23
2026-01-05 06:00:00+00:00,11.117616,1327.26474,301.204695,50.0109,233.457463,202.57966,1763.2152,63.244901,2.518,168.489634,4123.102809,0.0,0.0,5516.11729,4123.102809,5516.11729,-1393.0144810000002,None,BG,2026-04-23
2026-01-05 07:00:00+00:00,10.436944,1454.02698,302.62618,49.9465,245.125742,697.87627,1765.404,220.634097,2.49,179.127342,4927.694055,0.0,0.0,5734.33114,4927.694055,5734.33114,-806.6370850000003,None,BG,2026-04-23
2026-01-05 08:00:00+00:00,11.606,1472.15372,300.53159,49.4561,183.783996,753.27225,1762.9416,338.255274,2.354,128.22475,5002.579280000001,0.0,0.0,5775.50656,5002.579280000001,5775.50656,-772.927279999999,None,BG,2026-04-23
2026-01-05 09:00:00+00:00,10.79296,1479.85688,299.28593,49.8529,126.240028,710.05517,1764.9936,488.889358,2.231,106.491696,5038.689522000001,0.0,0.0,5734.42314,5038.689522000001,5734.42314,-695.7336179999993,None,BG,2026-04-23
2026-01-05 10:00:00+00:00,10.811248,1510.48496,297.320865,49.5881,108.758816,271.38524,1766.4984,570.699202,2.179,97.30405,4685.0298809999995,0.0,0.0,5626.2839,4685.0298809999995,5626.2839,-941.2540190000009,None,BG,2026-04-23
